Word,Tag
كرة,O

القدم,O

التي,O

الوحدة,B-org
السوري,I-org
أثرت,O

على,O

قواعد,O

اللعبة,O

الحديثة,O

.,O

هذه,O

المجهودات,O

ساهمت,O

في,O

النهاية,O

الوحدة,B-org
السوري,I-org
بتشكيل,O

الاتحاد,O

الإنجليزي,O

لكرة,O

القدم,O

وذلك,O

في,O

عام,O

1863,O

م,O

والذي,O

عقد,O

اجتماعا,O

لأول,O

مرة,O

في,O

مساء,O

26,O

أكتوبر,O

عام,O

1863,O

وذلك,O

في,O

لندن,O

.,O

المدرسة,O

الوحيدة,O

التي,O

كان,O

لها,O

ممثلون,O

في,O

الاجتماع,O

كانت,O

مدرسة,O

كارترهاوس,O

.,O

بعد,O

هذا,O

الاجتماع,O

،,O

عقدت,O

أكثر,O

من,O

خمسة,O

اجتماعات,O

أخرى,O

بين,O

أكتوبر,O

و,O

ديسمبر,O

،,O

نتج,O

عنها,O

المجموعة,O

الأولى,O

من,O

قواعد,O

لعبة,O

كرة,O

القدم,O

.,O

في,O

الاجتماع,O

الأخير,O

قام,O

الأمين,O

العام,O

لاتحاد,O

كرة,O

القدم,O

الإنجليزي,O

والذي,O

كان,O

ممثلا,O

لنادي,O

بلاكهيث,O

للرجبي,O

،,O

قام,O

بسحب,O

ناديه,O

من,O

اتحاد,O

كرة,O

القدم,O

بعد,O

اعتماد,O

الاتحاد,O

إزالة,O

قاعدتين,O

من,O

قواعد,O

كرة,O

القدم,O

:,O

الأولى,O

هي,O

السماح,O

بالجري,O

بالكرة,O

باستخدام,O

الأيدي,O

،,O

والثانية,O

هي,O

عرقلة,O

الخصم,O

(,O

كما,O

يفعل,O
احمد,B-name
مدنية,I-name

في,O

الرجبي,O

).,O

بقية,O

أندية,O

احمد,B-name
مدنية,I-name
الرجبي,O

الإنكليزية,O

لم,O

يتبعوا,O

اتحاد,O

كرة,O

القدم,O

،,O

و,O

لكن,O

بدلا,O

احمد,B-name
مدنية,I-name
من,O

ذلك,O

وفي,O

عام,O

1871,O

م,O

شكلوا,O

اتحادا,O

آخرا,O

وهو,O

اتحاد,O

كرة,O

القدم,O

الرجبي,O

.,O

الأندية,O

الإحدى,O

عشرة,O

المتبقية,O

تحت,O

احمد,B-name
مدنية,I-name
مسؤولية,O

السيد,O

إبنيزير,O

كوب,O

مورلي,O

استمرت,O

في,O

التصديق,O

على,O

القواعد,O

الأصلية,O

الأربعة,O

عشرة,O

للعبة,O

كرة,O

القدم,O

.,O

وعلى,O

الرغم,O

من,O

هذا,O

،,O

فإن,O

شيفيلد,O

يونايتد,O

لكرة,O

القدم,O

ظلوا,O

يمارسون,O

اللعبة,O

بقواعدهم,O

الخاصة,O

حتى,O

السبعينات,O

من,O

القرن,O

التاسع,O

عشر,O

.,O

قوانين,O

اللعبة,O

اليوم,O

خصصت,O

بواسطة,O

IFAB,O

وهي,O

اختصار,O

لInternational,O

Football,O

Association,O

Board,O

أي,O

مجلس,O

اتحاد,O

كرة,O

القدم,O

الدولية,O

.,O

المجلس,O

تأسس,O

في,O

1882,O

بعد,O

مقابلة,O

اتحاد,O

كرة,O

القدم,O

في,O

مانشستر,O

،,O

و,O

اتحاد,O

كرة,O

القدم,O

في,O

أسكتلندا,O

،,O

و,O

اتحاد,O

كرة,O

القدم,O

في,O

ويلز,O

،,O

و,O

اتحاد,O

كرة,O

القدم,O

في,O

إيرلندا,O

.,O

و,O

منظمة,O

اتحاد,O

كرة,O

القدم,O

الدولية,O

،,O

و,O

هي,O

منظمة,O

عالمية,O

تأسست,O

في,O

باريس,O

عام,O

1904,O

وصرحوا,O

بأنهم,O

سيلتزمون,O

بالقواعد,O

التي,O

دونتها,O

الIFAB,O
الجيش,B-org
السوري,I-org

.,O

و,O
الجيش,B-org
السوري,I-org
بسبب,O

الشعبية,O
الجيش,B-org
السوري,I-org
الكبيرة,O
الاذقية,B-reg

لهذه,O

الرياضة,O

فقد,O

انضمت,O

منظمة,O

الFIFA,O

مع,O

IFAB,O

و,O

ذلك,O

في,O
الاذقية,B-reg

العام,O

1913,O

.,O

المجلس,O

يتألف,O

اليوم,O

من,O

4,O

نواب,O

من,O

منظمة,O

الFIFA,O

و,O

نائب,O

واحد,O

من,O

كل,O

منظمة,O

بريطانية,O

من,O

المنظمات,O

الأربعة,O

كرة,O
الاذقية,B-reg

القدم,O

من,O

أكثر,O

الألعاب,O

الرياضية,O

انتشارا,O

في,O

العالم,O

و,O

أقدمها,O

شهرة,O

.,O

يعتبر,O

كأس,O

العالم,O
الاذقية,B-reg

لكرة,O

القدم,O

أكبر,O

محفل,O

دولي,O

في,O

مجال,O

هذه,O

اللعبة,O

الرياضية,O

و,O

يطمح,O

كل,O

بلد,O

في,O

العالم,O

في,O

الحصول,O

عليه,O

.,O

وهي,O

رياضة,O

يتبارى,O

فيها,O

فريقان,O

في,O

ملعب,O

ذي,O

أرضية,O

معشبة,O

(,O

عشب,O

طبيعي,O

أو,O

اصطناعي,O

),O

على,O

جانبيه,O

مرميان,O

،,O

و,O

الفكرة,O

في,O

كرة,O

القدم,O

هي,O

محاولة,O

إيداع,O

الكرة,O

في,O

مرمى,O

الخصم,O

،,O

و,O

ذلك,O

باستخدام,O

الأرجل,O

و,O

الرأس,O

غالبا,O

،,O

حيث,O

لا,O

يسمح,O

باستخدام,O

اليدين,O

إلا,O

لحارس,O

المرمى,O

و,O

يتكون,O

كل,O

فريق,O

من,O

11,O

لاعبا,O

.,O

يتواجد,O

أثناء,O

المباريات,O

الرسمية,O

حكم,O

ساحة,O

و,O

مساعدين,O

اثنين,O

له,O

على,O

جوانب,O

الملعب,O

وحكم,O

رابع,O

.,O

كرة,O

القدم,O

تلعب,O

على,O

مستوى,O

احترافي,O

في,O

كل,O

أنحاء,O

العالم,O

،,O

و,O

الآلاف,O

من,O

عشاقها,O

يذهبون,O

إلى,O

الملاعب,O

لتشجيع,O

فرقهم,O

المفضلة,O

،,O

بينما,O

الملايين,O

من,O

الناس,O

يشاهدون,O

هذه,O

الرياضة,O

على,O

التلفاز,O

.,O

عدد,O

كبير,O

جدا,O

من,O

الناس,O

أيضا,O

يمارسون,O

رياضة,O

كرة,O

القدم,O

بمستويات,O

أقل,O

احترافا,O

.,O

يذكر,O

أن,O

المباراة,O

النهائية,O

لكأس,O

العالم,O

لكرة,O

القدم,O

2002,O

شاهدها,O

أكثر,O

من,O

مليار,O

و,O

ثمان,O

مائة,O

مليون,O

شخص,O

حول,O

العالم,O

وهو,O

ما,O

يقارب,O

نسبة,O

28,O

%,O

من,O

سكان,O

الكرة,O

الأرضية,O

.,O

يحكم,O

كرة,O

القدم,O

الاتحاد,O

الدولي,O

لكرة,O

القدم,O

-,O

الفيفا,O

-,O

و,O
خالد,B-name
حاج,I-name
عثمان,I-name

الذي,O

يقوم,O

بتنظيم,O

هذه,O

اللعبة,O

وقوانينها,O

حول,O

العالم,O

.,O

وفقا,O

للإحصائيات,O

التي,O

أعلنتها,O

الفيفا,O

خالد,B-name
حاج,I-name
عثمان,I-name
FIFA,O

في,O

ربيع,O

عام,O

2001,O

،,O

أن,O

أكثر,O

من,O

240,O

مليون,O

شخص,O

يلعبون,O

كرة,O

القدم,O

بانتظام,O

في,O

أكثر,O

من,O

200,O

بلدة,O

في,O

كل,O

أنحاء,O

العالم,O

خالد,B-name
حاج,I-name
عثمان,I-name
.,O

تقام,O

العديد,O

من,O

بطولات,O

خالد,B-name
حاج,I-name
عثمان,I-name
كرة,O

القدم,O

،,O

أهمها,O
ضمك,B-org
السعودي,I-org

على,O

الإطلاق,O

بطولة,O

كأس,O

العالم,O

والتي,O

ضمك,B-org
السعودي,I-org
تقام,O

كل,O

أربع,O

سنوات,O

ثم,O

كأس,O

الأمم,O

الأوروبية,O

ودوري,O

أبطال,O

أوروبا,O

وهناك,O

أيضا,O

بطولة,O

الأمم,O

الأفريقية,O

وبطولة,O

الأمم,O

الأسيوية,O

وكوبا,O

أمريكا,O

وكأس,O

العالم,O

للشباب,O

تحت,O

20,O

سنة,O

و,O

غيرها,O

.,O

1الحكم,O

بأنه,O

قد,O

تم,O

عرقلته,O

ضمن,O

ضمك,B-org
السعودي,I-org
منطقة,O

الجزاء,O

،,O

فيتم,O

اعتبار,O

ذلك,O
ضربة ,O
جزاء ,O
",O

لصالح,O

الفريق,O

الذي,O

تم,O

عرقلة,O

لاعب,O

منهم,O

أما,O

في,O

الحالات,O

التي,O

يتم,O

فيها,O

عرقلة,O

اللاعب,O

خارج,O

منطقة,O

الجزاء,O

فيتم,O

اعتبارها,O

", O
ركلة, O
حرة ,O
.",O

ضمك,B-org
السعودي,I-org
الشوطين,O

و,O

تدعى,O

الاستراحة,O

ب,O

", O
منتصف ,O
الوقت ,O
.",O

نهاية,O

المباراة,O

تعرف,O

ب,O

" ,O
نهاية ,O
الوقت ,O
.",O

والجدير,O

بالذكر,O

أن,O

مدة,O

كل,O

شوط,O

45,O

دقيقه,O

غير,O

الوقت,O

الضائع,O

خلال,O

الوقت,O

الاصلى,O

.,O

الحكم,O

رسميا,O

مسؤول,O

عن,O

ضبط,O

الوقت,O

في,O

المباراة,O

،,O

إن,O

ذلك,O

جزء,O

من,O

مهامه,O

ليحافظ,O

على,O

الوقت,O
حلب,B-reg

الذي,O

ضاع,O

أثناء,O

تبديل,O

اللاعبين,O

أو,O

إصابة,O

لاعب,O

أو,O

تحذيرات,O
حلب,B-reg

و,O

طرد,O

أو,O

خلافات,O

حصلت,O

بين,O

اللاعبين,O

.,O

فالحكم,O

يعمل,O

على,O
حلب,B-reg

استخدام,O

ساعة,O

لحساب,O

الوقت,O

الضائع,O

و,O

في,O

نهاية,O

المباراة,O

يعلن,O

الحكم,O

عن,O
حلب,B-reg

الوقت,O

البدل,O

الضائع,O

و,O

الذي,O

ضاع,O

خلال,O

المباراة,O

ليتم,O

السماح,O

للفريق,O

بالاستمرار,O

في,O

اللعب,O

(,O
حلب,B-reg

على,O

الرغم,O

من,O

مرور,O

90,O

دقيقة,O

((,O

الوقت,O

الأصلي,O

من,O

المباراة,O

)),O

و,O

يلعبون,O

إضافة,O

إلى,O

ذلك,O

الوقت,O

5,O

دقائق,O

أو,O

6,O

دقائق,O

و,O

ربما,O

أقل,O

و,O

ذلك,O

بحسب,O

الوقت,O

الضائع,O

الذي,O

أعلنه,O

الحكم,O

.,O

لا,O

وجود,O

لحكم,O

آخر,O

يساعد,O

الحكم,O

الرئيسي,O

على,O

تحديد,O

الوقت,O

الضائع,O

إلا,O

أنهم,O

يملكون,O

ساعات,O

بأيديهم,O

و,O

قد,O

يعمل,O

الحكم,O

الرئيسي,O

على,O

استشارتهم,O

حول,O

قرار,O

المدة,O

الضائعة,O

التي,O

أعلن,O

عنها,O

",",O

و,O

هم,O

إن,O

وافقوه,O

الرأي,O

أم,O

لا,O

،,O

فلن,O

يشكل,O

ذلك,O

أي,O

أمر,O

صادر,O

عنهم,O

فالحكم,O

الرئيسي,O

هو,O

الوحيد,O

المخول,O

له,O

في,O

إعلان,O

مدة,O

الوقت,O

الضائع,O

.,O

بعد,O

أن,O

يحدد,O

الحكم,O

الوقت,O

الضائع,O

فإنه,O
العهد,B-org
اللبناني,I-org

يشير,O

للحكم,O

الرابع,O

عن,O

عدد,O

دقائق,O

الوقت,O

الضائع,O

ليقوم,O

العهد,B-org
اللبناني,I-org
الحكم,O

الرابع,O

بدوره,O

في,O

رفع,O

لوحة,O

الكترونية,O

يكتب,O

عليها,O

عدد,O

الدقائق,O

الضائعة,O

التي,O

سوف,O

يتم,O

لعبها,O

و,O

يقوم,O

عندئذ,O

اللاعبون,O

و,O

المشاهدون,O

برؤية,O

اللوحة,O

.,O

و,O

العهد,B-org
اللبناني,I-org
من,O

الأحداث,O

التي,O

صرحت,O

للفيفا,O

أن,O

تكون,O

وقت,O

ضائع,O

هو,O

عندما,O

يتم,O

إحراز,O

هدف,O

و,O

تؤدي,O

اللاعبين,O

احتفالاتهم,O

بمناسبة,O

الهدف,O

،,O

فهذا,O

الوقت,O

الضائع,O

يتم,O

احتسابه,O

أيضا,O

كوقت,O

ضائع,O

من,O

قبل,O

الحكم,O

.,O

بعض,O

المباريات,O

العهد,B-org
اللبناني,I-org
(,O

مباريات,O

التي,O

يجب,O

أن,O

يكون,O

أحد,O

الفريقين,O

فائز,O

ولايجوز,O

التعادل,O

بها,O

كمباريات,O

خروج,O

المغلوب,O

والمباريات,O

النهائية,O

وأدوار,O

خروج,O

المغلوب,O

في,O

البطولات,O

),O

قد,O

تستمر,O

إلى,O

الوقت,O

الإضافي,O

،,O

و,O

الذي,O

يتألف,O

من,O

فترتين,O

زمنيتين,O

كل,O

منهما,O

مدتها,O

15,O

دقيقة,O

.,O

و,O

ذلك,O

إذا,O
احمد,B-name
الصالح,I-name

بقي,O

مجموع,O

الأهداف,O

متساويا,O

.,O

سمح,O

في,O

بعض,O

المنافسات,O

استخدام,O

ركلات,O

الترجيح,O

احمد,B-name
الصالح,I-name
(,O

المعروفة,O

رسميا,O

في,O

قوانين,O

اللعبة,O

باسم,O

" ,O
الركلات, O
من ,O
علامة ,O
الجزاء ,O
)",O

و,O

احمد,B-name
الصالح,I-name
ذلك,O

إذا,O

استمر,O

مجموع,O

الأهداف,O

متساويا,O

بين,O

الفريقين,O

.,O

مع,O

الأخذ,O

بعين,O

الاعتبار,O

الأهداف,O

التي,O

تم,O

إحرازها,O

في,O

فترات,O

الوقت,O

احمد,B-name
الصالح,I-name
الإضافي,O

تحسب,O

في,O

مجموع,O

الأهداف,O

العام,O

للمباراة,O

،,O

بخلاف,O

ركلات,O

الترجيح,O

والتي,O

تستخدم,O

فقط,O

لإصدار,O

القرار,O

عن,O

الفريق,O

الذي,O

سوف,O

يتأهل,O

للدوري,O

القادم,O

.,O

و,O

هذان,O

الشوطان,O

المصغران,O

هدفهما,O

هو,O

إن,O

تعادل,O

الفريقان,O

بالأهداف,O

فلا,O

بد,O

من,O

حسم,O

النتيجة,O

ليتم,O

الإعلان,O

عن,O

شوطين,O

إضافيين,O

احمد,B-name
الصالح,I-name
.,O

في,O

أواخر,O

التسعينات,O

من,O

القرن,O

العشرين,O

الIFAB,O

ابتكرت,O

طرق,O

لإنهاء,O

المباراة,O

بطريقة,O

أسرع,O

بدون,O

الحاجة,O

للوصول,O

إلى,O

ركلات,O

الترجيح,O

.,O

و,O

قد,O

تم,O

النظر,O

إليه,O

غالبا,O

كطريقة,O

كريهة,O

لإنهاء,O

مباراة,O

.,O

إنه,O

قانون,O

الهدف,O

الأول,O

في,O

المباراة,O

الإضافية,O

و,O

الذي,O

يدعى,O

باسم,O

ال,O

" ,O
هدف, O
ذهبي ,O
",O

أو,O

الهدف,O

الأول,O

في,O

الشوط,O

الأول,O

من,O

المباراة,O

الإضافية,O

و,O

الذي,O

يدعى,O

باسم,O

ال,O

" ,O
الهدف, O
الفضي, O
",O

و,O

لكنهما,O
الزوراء,B-org
العراقي,I-org

قد,O

تمت,O

إزالتهما,O

فيما,O

بعد,O

من,O

قبل,O

IFAB,O

أيضا,O

.,O

الاهدف,O

هي,O

الهدف,O

الذهبي,O

أو,O

الفضي,O

والهدف,O

الذهبي,O

إذا,O

سجل,O

ينهي,O

المباراه,O

وهو,O

أول,O

فريق,O

يحرزه,O

من,O

الفريقين,O

كل,O

فترة,O

لعب,O

في,O

كرة,O

القدم,O

يشرع,O

معها,O

ضربة,O

البداية,O

،,O

و,O

التي,O

تبدأ,O

بركل,O

الزوراء,B-org
العراقي,I-org

الكرة,O

من,O

مركز,O

الملعب,O

بواسطة,O

أحد,O

الفريقين,O

،,O

و,O

الفريق,O

الذي,O

لا,O

يبدأ,O

بلمسة,O

البداية,O

للكرة,O

يجب,O

عليه,O

أن,O

يبقى,O

خارج,O

الدائرة,O

الزوراء,B-org
العراقي,I-org

التي,O

في,O

وسط,O

الملعب,O

،,O

حتى,O

يتم,O

لمس,O

الكرة,O

و,O

تحريكها,O

من,O

قبل,O

لاعبين,O

من,O

الفريق,O

الأول,O

حينها,O

يمكنهم,O

التحرك,O

،,O

و,O

أما,O

الفريق,O

الذي,O
القامشلي,B-reg

يبدأ,O

بلمس,O

الكرة,O

يجب,O

على,O

لاعبيه,O

أن,O

يتواجدو,O

داخل,O

الدائرة,O

.,O

و,O

الفترة,O

التي,O

ما,O
القامشلي,B-reg

بعد,O

لمس,O

الكرة,O

للمرة,O

الأولى,O

و,O

حتى,O

نهاية,O

تلك,O

الفترة,O

،,O

الكرة,O

تكون,O

في,O

حالة,O

لعب,O

في,O

جميع,O

الأوقات,O

و,O

ذلك,O

حتى,O

ينتهي,O

وقت,O

المباراة,O

،,O

و,O

يتم,O

إيقاف,O

اللعب,O

بالكرة,O

بشكل,O

مؤقت,O

في,O

عدة,O
القامشلي,B-reg

حالات,O

أهمها,O

عندما,O

تخرج,O

الكرة,O

عن,O

حدود,O

الملعب,O

،,O

و,O

هناك,O

8,O

مواقف,O

تمثل,O

استئناف,O

اللعب,O

بالكرة,O

،,O

و,O

إن,O

من,O

يعمل,O

على,O

إيقاف,O

اللعب,O

بالكرة,O

بشكل,O

مؤقت,O

هو,O

الحكم,O
القامشلي,B-reg

مستخدما,O

صافرته,O

.,O

حالات,O

استئناف,O

اللعب,O

في,O

كرة,O

القدم,O

عددها,O

ثمانية,O

مع,O

احتساب,O

ركلة,O

البداية,O

:,O

و,O

تكون,O
حسين,B-name
جويد,I-name

ركلة,O

البداية,O

في,O

بداية,O

المباراة,O

،,O

و,O

تكون,O

من,O

حسين,B-name
جويد,I-name
منتصف,O

الملعب,O

،,O

و,O

يلعبها,O

الفريق,O

الفائز,O

بالقرعة,O

،,O

و,O

في,O

الشوط,O

الثاني,O

يلعبها,O

الفريق,O

الآخر,O

.,O

و,O

بعد,O

أن,O

يقوم,O

أحد,O

الفريقين,O

بإحراز,O

هدف,O

،,O

فان,O

الفريق,O

الآخر,O

يقوم,O

بتنفيذ,O

ركلة,O

البداية,O

.,O

أو,O

لمسة,O

البداية,O

(,O

مثلا,O

الفريق,O

1,O

أحرز,O

هدفا,O

على,O

الفريق,O

2,O

فإن,O

حسين,B-name
جويد,I-name
ركلة,O

البداية,O

يتم,O

تنفيذها,O

من,O

قبل,O

الفريق,O

2,O

),O

القانون,O

رقم,O

8,O

عندما,O

تجتاز,O

الكرة,O

خطوط,O

اللمس,O

(,O

الخطوط,O

الجانبيه,O

من,O

الملعب,O

وليست,O

التي,O

بحاذاة,O

المرمى,O

),O

فإن,O

الحكم,O

يقرر,O

من,O

سيقوم,O

حسين,B-name
جويد,I-name
بتنفيذ,O

رمية,O

التماس,O

و,O

ذلك,O

بعد,O

رؤيته,O

آخر,O

لاعب,O

قام,O

بلمس,O

الكرة,O

قبل,O

أن,O

تخرج,O

عن,O

حدود,O

خط,O

اللمس,O

(,O

فإذا,O

كان,O

أحد,O

لاعبي,O

الفريق,O

1,O

هم,O

آخر,O

من,O

لمسوا,O

الكرة,O

قبل,O

أن,O

تخرج,O

عن,O

حد,O

الملعب,O

فإن,O

لاعبي,O

الفريق,O

2,O

يمنحهم,O

الحكم,O

رمية,O

التماس,O

).,O

القانون,O

15,O

وهناك,O

ملاحظه,O

مهمه,O

انه,O

لايحتسب,O

قانون,O

التسلل,O

عند,O

رميه,O

التماس,O

بمعنى,O

انه,O

يستطيع,O

اللاعب,O

صاحب,O

الرميه,O

ان,O

يمرر,O

الكره,O

مباشره,O

لزميله,O

حتى,O

لو,O

حسين,B-name
جويد,I-name
كان,O

متسلل,O

ويقف,O

خلف,O

خط,O

الدفاع,O

عندما,O

تجتاز,O

الكرة,O

خط,O

المرمى,O

طبعا,O

دون,O

أن,O

تدخل,O

في,O

المرمى,O

فيتم,O

احتساب,O

رمية,O

مرمى,O

و,O

لكن,O

بشرط,O

أن,O

يكون,O

آخر,O

من,O

لمس,O

الكرة,O

هو,O

الفريق,O

الخصم,O

(,O

الفريق,O

1,O

هجم,O

على,O

مرمى,O

الفريق,O

2,O

و,O

قام,O

أحد,O

لاعبي,O

1,O

بتسديد,O

الكرة,O

أو,O

قام,O

بإخراجها,O

عن,O

خط,O

المرمى,O

لسبب,O

ما,O
دمشق,B-reg

فإن,O

الحكم,O

يمنح,O

الفريق,O

2,O

ركلة,O

مرمى,O

و,O

التي,O

فيها,O
دمشق,B-reg

يقوم,O

الحارس,O

بوضع,O

الكرة,O

في,O

نقطة,O

معينة,O
دمشق,B-reg

من,O

منطقة,O

الجزاء,O
دمشق,B-reg

و,O

ركلها,O

لأحد,O
جهاد,B-name
الباعور,I-name

لاعبيه,O

).,O

القانون,O

16,O

عندما,O

تجتاز,O

الكرة,O

جهاد,B-name
